"","Estimator","Rho_svy","fn_svy","fp_svy","Rho_sen","fn_sen","fp_sen","Theta","ThetaHat","SE","RB","CV","RRMSE","fn_sen_label","fp_sen_label"
"1","Survey",1,0,0,1,0,0,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308984,0.0180725171798123,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"2","LP",1,0,0,1,0,0,331839,331935.37,1139.563301569,0.000290411916622203,0.00343408490734662,0.00342919069762435,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"3","HUG_GLM",1,0,0,1,0,0,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308983,0.0180725171798122,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"4","HUG_XGB",1,0,0,1,0,0,331839,332193.523327436,6016.83706863984,0.00106835943766691,0.0181317960476009,0.0180725150303086,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"5","Survey",1,0.3,0,1,0,0,331839,232818.181818182,4531.55612095732,-0.298400182563888,0.0136558877074645,0.298709369438841,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"6","LP",1,0.3,0,1,0,0,331839,331935.37,1139.563301569,0.000290411916622203,0.00343408490734662,0.00342919069762435,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"7","HUG_GLM",1,0.3,0,1,0,0,331839,332193.506493795,6016.8387886655,0.00106830870932811,0.0181318012309147,0.0180725171798798,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"8","HUG_XGB",1,0.3,0,1,0,0,331839,332227.291571908,6017.11235057591,0.00117012036532136,0.0181326256123479,0.0180796397129738,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"9","Survey",1,0.6,0,1,0,0,331839,133001.948051948,3401.12923744704,-0.599197357598269,0.0102493354833128,0.599284132729892,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"10","LP",1,0.6,0,1,0,0,331839,331935.37,1139.563301569,0.000290411916622203,0.00343408490734662,0.00342919069762435,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"11","HUG_GLM",1,0.6,0,1,0,0,331839,332193.506494084,6016.83878867093,0.00106830871020077,0.0181318012309311,0.0180725171799477,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"12","HUG_XGB",1,0.6,0,1,0,0,331839,332308.427738057,6014.02872579599,0.00141462497794639,0.0181233330795837,0.018087891356447,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"13","Survey",1,0.9,0,1,0,0,331839,33077.2727272727,1773.85709563723,-0.90032132230608,0.00534553532175914,0.900337032671302,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"14","LP",1,0.9,0,1,0,0,331839,331935.37,1139.563301569,0.000290411916622203,0.00343408490734662,0.00342919069762435,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"15","HUG_GLM",1,0.9,0,1,0,0,331839,332193.506494374,6016.83878867532,0.00106830871107414,0.0181318012309443,0.0180725171800124,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"16","HUG_XGB",1,0.9,0,1,0,0,331839,332866.924377872,6017.95069292037,0.00309765994314153,0.0181351519650203,0.0183082057162841,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0"
"17","Survey",1,0,0,1,0.3,0,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308984,0.0180725171798123,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"18","LP",1,0,0,1,0.3,0,331839,331706.666767032,3009.6528200693,-0.000398787463102128,0.00906961755571014,0.00903296266025188,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"19","HUG_GLM",1,0,0,1,0.3,0,331839,332193.506493795,6016.83878866438,0.00106830870932881,0.0181318012309113,0.0180725171798765,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"20","HUG_XGB",1,0,0,1,0.3,0,331839,332227.27735647,6016.86551212076,0.00117007752696339,0.0181318817623027,0.0180788983707196,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"21","Survey",1,0.3,0,1,0.3,0,331839,232818.181818182,4531.55612095732,-0.298400182563888,0.0136558877074645,0.298709369438841,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"22","LP",1,0.3,0,1,0.3,0,331839,331776.434018831,3270.93084381592,-0.00018854318259597,0.00985698137896967,0.00980938477265545,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"23","HUG_GLM",1,0.3,0,1,0.3,0,331839,331993.515603866,6398.65867425971,0.000465634249940896,0.0192824191076387,0.0191914143572307,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"24","HUG_XGB",1,0.3,0,1,0.3,0,331839,332279.714986549,6406.91459646854,0.00132809882668701,0.0193072984081694,0.0192563729865551,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"25","Survey",1,0.6,0,1,0.3,0,331839,133001.948051948,3401.12923744704,-0.599197357598269,0.0102493354833128,0.599284132729892,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"26","LP",1,0.6,0,1,0.3,0,331839,331245.066215209,4827.25213237114,-0.00178982514047717,0.0145469704657112,0.0145842956726218,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"27","HUG_GLM",1,0.6,0,1,0.3,0,331839,331514.446840562,7190.91121833287,-0.000978044049787848,0.0216698797258094,0.0215834293063234,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"28","HUG_XGB",1,0.6,0,1,0.3,0,331839,332612.485736564,7231.02064474329,0.00233090666426819,0.0217907498658786,0.0218064563328764,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"29","Survey",1,0.9,0,1,0.3,0,331839,33077.2727272727,1773.85709563723,-0.90032132230608,0.00534553532175914,0.900337032671302,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"30","LP",1,0.9,0,1,0.3,0,331839,333328.654315331,9063.46775904916,0.00448908752536946,0.0273128467692139,0.0275442115418575,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"31","HUG_GLM",1,0.9,0,1,0.3,0,331839,334213.130284809,10822.2655980023,0.00715446431796579,0.0326130008769381,0.0332288746064958,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"32","HUG_XGB",1,0.9,0,1,0.3,0,331839,340650.045437771,11948.4044518731,0.0265521696900326,0.0360066310827634,0.0445929413961358,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0"
"33","Survey",1,0,0,1,0.6,0,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308984,0.0180725171798123,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"34","LP",1,0,0,1,0.6,0,331839,332107.205685616,4775.49290895031,0.000808240398554561,0.0143909935509398,0.0143416505664869,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"35","HUG_GLM",1,0,0,1,0.6,0,331839,332193.506494085,6016.83878867078,0.00106830871020393,0.0181318012309306,0.0180725171799474,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"36","HUG_XGB",1,0,0,1,0.6,0,331839,332309.270814378,6013.60315653359,0.00141716559650274,0.0181220506225416,0.0180868181255359,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"37","Survey",1,0.3,0,1,0.6,0,331839,232818.181818182,4531.55612095732,-0.298400182563888,0.0136558877074645,0.298709369438841,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"38","LP",1,0.3,0,1,0.6,0,331839,332260.173556515,6227.22349935846,0.001269210540398,0.0187657975685753,0.0187148203891129,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"39","HUG_GLM",1,0.3,0,1,0.6,0,331839,332327.787562106,6960.27108181047,0.00147296599286289,0.0209748434687016,0.0209216215138143,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"40","HUG_XGB",1,0.3,0,1,0.6,0,331839,333420.821075082,7048.54645653418,0.00476683293730376,0.0212408621546418,0.0216652989611021,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"41","Survey",1,0.9,0,1,0.6,0,331839,33077.2727272727,1773.85709563723,-0.90032132230608,0.00534553532175914,0.900337032671302,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"42","LP",1,0.9,0,1,0.6,0,331839,333950.780690196,16685.1945155191,0.00636387130565115,0.0502809932392488,0.0504320865750072,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"43","HUG_GLM",1,0.9,0,1,0.6,0,331839,335358.134543605,17322.9151531577,0.0106049456019492,0.0522027704795328,0.0530126666420554,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"44","HUG_XGB",1,0.9,0,1,0.6,0,331839,358800.061306821,20331.5431828226,0.0812474160867799,0.0612692998195588,0.101575245262581,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0"
"45","Survey",1,0,0,1,0.9,0,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308984,0.0180725171798123,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"46","LP",1,0,0,1,0.9,0,331839,335423.058629559,10882.9384309099,0.010800594955865,0.0327958390391421,0.0343724342911462,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"47","HUG_GLM",1,0,0,1,0.9,0,331839,332193.506494375,6016.83878867582,0.00106830871107554,0.0181318012309458,0.018072517180014,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"48","HUG_XGB",1,0,0,1,0.9,0,331839,332865.606592508,6022.12240738844,0.00309368878434431,0.0181477234664655,0.0183198629536229,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"49","Survey",1,0.3,0,1,0.9,0,331839,232818.181818182,4531.55612095732,-0.298400182563888,0.0136558877074645,0.298709369438841,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"50","LP",1,0.3,0,1,0.9,0,331839,332508.24649543,15246.2120402436,0.00201678071423298,0.0459446057884805,0.0457587711537098,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"51","HUG_GLM",1,0.3,0,1,0.9,0,331839,333276.071402494,10248.3746668877,0.00433062841466506,0.0308835750676914,0.0310324281895249,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"52","HUG_XGB",1,0.3,0,1,0.9,0,331839,339728.717460824,11152.2990429318,0.0237757390205021,0.0336075598194662,0.0410299788230488,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"53","Survey",1,0.6,0,1,0.9,0,331839,133001.948051948,3401.12923744704,-0.599197357598269,0.0102493354833128,0.599284132729892,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"54","LP",1,0.6,0,1,0.9,0,331839,333984.487647602,18943.5656123993,0.00646544754414671,0.0570866161373415,0.0571672540580547,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"55","HUG_GLM",1,0.6,0,1,0.9,0,331839,334830.813784875,17397.9858234884,0.00901585945255054,0.0524289966625033,0.0529395638043473,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"56","HUG_XGB",1,0.6,0,1,0.9,0,331839,357997.285783787,21957.5417677185,0.0788282443708757,0.0661692621051731,0.102705791685095,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"57","Survey",1,0.9,0,1,0.9,0,331839,33077.2727272727,1773.85709563723,-0.90032132230608,0.00534553532175914,0.900337032671302,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"58","LP",1,0.9,0,1,0.9,0,331839,342808.71589123,54639.0058559536,0.0330573437457028,0.164655166680088,0.16713168057201,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"59","HUG_GLM",1,0.9,0,1,0.9,0,331839,353115.43903938,67617.9280093373,0.064116752519685,0.203767272711578,0.212642536590641,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"60","HUG_XGB",1,0.9,0,1,0.9,0,331839,496559.73437114,121507.387353415,0.496387508313187,0.366163673809935,0.615739909431883,"&#950;<sup>sen</sup>: 0.9","&#958;<sup>sen</sup>: 0"
"61","Survey",1,0,0,1,0,0.05,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308984,0.0180725171798123,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"62","LP",1,0,0,1,0,0.05,331839,360872.98,1086.69616970546,0.0874941763927687,0.00327476929988779,0.0875548272539941,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"63","HUG_GLM",1,0,0,1,0,0.05,331839,360996.753246837,6087.07308355535,0.0878671682558011,0.018343452950242,0.0897427250576314,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"64","HUG_XGB",1,0,0,1,0,0.05,331839,361003.209584293,6086.74308438066,0.0878866244904698,0.0183424584945732,0.0897615735719786,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"65","Survey",1,0.3,0,1,0,0.05,331839,232818.181818182,4531.55612095732,-0.298400182563888,0.0136558877074645,0.298709369438841,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"66","LP",1,0.3,0,1,0,0.05,331839,360851.01,1152.78196222193,0.0874279695876615,0.00347391946763921,0.0874962702149299,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"67","HUG_GLM",1,0.3,0,1,0,0.05,331839,361066.233766606,6099.62547479555,0.0880765484665931,0.0183812797012875,0.0899553840457063,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"68","HUG_XGB",1,0.3,0,1,0,0.05,331839,361109.881084946,6099.86001078365,0.0882080800778258,0.0183819864777306,0.0900843151920185,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"69","Survey",1,0.6,0,1,0,0.05,331839,133001.948051948,3401.12923744704,-0.599197357598269,0.0102493354833128,0.599284132729892,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"70","LP",1,0.6,0,1,0,0.05,331839,360848.15,1165.8026703356,0.0874193509503103,0.00351315749606164,0.0874892094684237,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"71","HUG_GLM",1,0.6,0,1,0,0.05,331839,360905.844156505,5964.93167186527,0.0875932128426897,0.0179753786380301,0.0894005258984167,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"72","HUG_XGB",1,0.6,0,1,0,0.05,331839,361037.390695046,5961.71786984469,0.0879896295946106,0.0179656938149063,0.0897870447720896,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"73","Survey",1,0.9,0,1,0,0.05,331839,33077.2727272727,1773.85709563723,-0.90032132230608,0.00534553532175914,0.900337032671302,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"74","LP",1,0.9,0,1,0,0.05,331839,360862.58,1160.33514994678,0.0874628358933098,0.003496681071082,0.0875320065646148,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"75","HUG_GLM",1,0.9,0,1,0,0.05,331839,360847.402598353,5928.06650744639,0.0874170986483003,0.0178642851124985,0.0892058882128389,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"76","HUG_XGB",1,0.9,0,1,0,0.05,331839,361585.35363896,5927.74110541988,0.0896409211664693,0.0178633045103797,0.091386002315034,"&#950;<sup>sen</sup>: 0","&#958;<sup>sen</sup>: 0.05"
"77","Survey",1,0,0,1,0.3,0.05,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308984,0.0180725171798123,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"78","LP",1,0,0,1,0.3,0.05,331839,372955.68227612,3539.34321302739,0.12390551525324,0.0106658446205159,0.124359154665932,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"79","HUG_GLM",1,0,0,1,0.3,0.05,331839,373603.719178353,5788.15801147296,0.125858380655538,0.0174426695218855,0.127049345665704,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"80","HUG_XGB",1,0,0,1,0.3,0.05,331839,373638.725535497,5771.58634837189,0.125963872647571,0.0173927306566494,0.127147077124373,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"81","Survey",1,0.3,0,1,0.3,0.05,331839,232818.181818182,4531.55612095732,-0.298400182563888,0.0136558877074645,0.298709369438841,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"82","LP",1,0.3,0,1,0.3,0.05,331839,373173.933502483,3658.80031368341,0.124563217411102,0.0110258297357556,0.125045385216543,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"83","HUG_GLM",1,0.3,0,1,0.3,0.05,331839,373453.145802213,6177.18759761384,0.125404626346549,0.0186150139001559,0.12676503407563,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"84","HUG_XGB",1,0.3,0,1,0.3,0.05,331839,373943.43644415,6208.35617125497,0.12688212188486,0.0187089406949001,0.128240387832034,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"85","Survey",1,0.6,0,1,0.3,0.05,331839,133001.948051948,3401.12923744704,-0.599197357598269,0.0102493354833128,0.599284132729892,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"86","LP",1,0.6,0,1,0.3,0.05,331839,372477.504040009,5105.34252935839,0.122464520565724,0.0153849985365144,0.123417543305486,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"87","HUG_GLM",1,0.6,0,1,0.3,0.05,331839,372777.987858029,7467.14083409008,0.123370031424964,0.0225023003145805,0.125385224959122,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"88","HUG_XGB",1,0.6,0,1,0.3,0.05,331839,374194.116230805,7542.30017224137,0.127637547819289,0.0227287936988762,0.129625521004536,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"89","Survey",1,0.9,0,1,0.3,0.05,331839,33077.2727272727,1773.85709563723,-0.90032132230608,0.00534553532175914,0.900337032671302,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"90","LP",1,0.9,0,1,0.3,0.05,331839,374797.004045337,10175.6326041921,0.129454356014021,0.0306643661660989,0.133001242888364,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"91","HUG_GLM",1,0.9,0,1,0.3,0.05,331839,375601.798757928,11374.2342355674,0.131879612576966,0.0342763636449223,0.136218033413797,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"92","HUG_XGB",1,0.9,0,1,0.3,0.05,331839,383201.650165014,12818.418880005,0.154781837472432,0.038628427882211,0.15948244761599,"&#950;<sup>sen</sup>: 0.3","&#958;<sup>sen</sup>: 0.05"
"93","Survey",1,0,0,1,0.6,0.05,331839,332193.506493506,6016.83878866008,0.00106830870845949,0.0181318012308984,0.0180725171798123,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0.05"
"94","LP",1,0,0,1,0.6,0.05,331839,404603.839796615,6050.05555816607,0.219277540604373,0.018231900283469,0.220026630160009,"&#950;<sup>sen</sup>: 0.6","&#958;<sup>sen</sup>: 0.05"
